Date;Open;High;Low;Last Close;Chg.%;Total Value;Total Volume
05.08.2000;11.068;11.317;11.068;11.317;+3.41%;5,603,804;498,016
05.09.2000;11.195;11.608;11.195;11.515;+1.76%;6,922,474;601,138
05.10.2000;11.441;11.749;11.441;11.690;+1.51%;3,599,307;308,562
05.11.2000;11.491;11.690;11.491;11.501;-1.62%;1,967,939;170,428
05.12.2000;11.453;11.640;11.317;11.366;-1.17%;1,793,848;156,686
05/15/2000;11.317;11.317;11.222;11.267;-0.88%;1,272,977;112,933
05/16/2000;11.118;11.441;11.068;11.192;-0.66%;1,907,254;170,517
05/17/2000;11.317;11.341;11.155;11.267;+0.67%;1,596,597;142,018
05/18/2000;11.093;11.354;11.093;11.317;+0.44%;1,439,136;127,52
05/19/2000;11.366;11.461;11.267;11.441;+1.10%;4,109,597;359,665
05/22/2000;11.354;11.384;11.242;11.254;-1.63%;1,619,209;143,192
05/23/2000;11.165;11.289;11.165;11.192;-0.55%;1,176,332;104,626
05/24/2000;11.142;11.202;11.093;11.095;-0.87%;1,625,169;145,677
05/25/2000;11.192;11.192;11.068;11.152;+0.52%;1,004,401;90,441
05/26/2000;11.030;11.100;10.819;10.819;-2.99%;1,412,508;128,806
05/29/2000;10.919;10.919;10.794;10.832;+0.11%;1,312,202;121,038
05/30/2000;10.906;10.943;10.884;10.943;+1.03%;782,63;71,681
05/31/2000;10.844;11.016;10.844;10.943;0.00%;269,287;24,647
06.02.2000;10.943;11.075;10.931;10.943;0.00%;3,032,697;275,794
06.05.2000;10.968;11.068;10.968;11.065;+1.11%;1,734,031;157,216
06.06.2000;10.869;11.137;10.869;11.093;+0.25%;567,113;51,264
06.07.2000;11.006;11.317;11.006;11.279;+1.68%;2,675,401;239,471
06.08.2000;11.192;11.453;11.192;11.404;+1.10%;3,139,901;275,882
06.09.2000;11.441;11.565;11.379;11.553;+1.31%;1,552,245;135,513
06/13/2000;11.441;11.441;11.195;11.195;-3.10%;2,241,492;198,307
06/14/2000;11.195;11.279;10.968;11.080;-1.02%;2,187,252;196,329
06/15/2000;11.080;11.080;10.757;10.757;-2.92%;3,336,712;306,407
06/16/2000;10.769;10.869;10.757;10.819;+0.58%;4,519,297;419,79
06/19/2000;10.819;10.973;10.747;10.946;+1.17%;1,297,812;119,084
06/20/2000;10.968;11.030;10.968;11.018;+0.66%;905,896;82,327
06/21/2000;10.971;10.981;10.943;10.943;-0.68%;424,571;38,743
06/23/2000;10.744;11.030;10.744;10.971;+0.25%;1,282,794;116,873
06/26/2000;10.919;10.938;10.757;10.809;-1.47%;3,855,229;355,556
06/27/2000;10.819;10.881;10.722;10.819;+0.09%;1,327,112;122,606
